enzyme	genome_name	db_name	gene_caller_id	contig	modules_with_enzyme	enzyme_definition	warnings
K01783	Ccu_c8Ua_181	Ccu_c8Ua_181	145	c_000000000001	M00004,M00007,M00165	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	None
K01808	Ccu_c8Ua_181	Ccu_c8Ua_181	748	c_000000000001	M00004,M00007,M00165,M00611,M00612	ribose 5-phosphate isomerase B [EC:5.3.1.6]	None
K00615	Ccu_c8Ua_181	Ccu_c8Ua_181	126	c_000000000001	M00004,M00007,M00165,M00611,M00612	transketolase [EC:2.2.1.1]	None
K00616	Ccu_c8Ua_181	Ccu_c8Ua_181	127	c_000000000001	M00004,M00007	transaldolase [EC:2.2.1.2]	None
K00948	Ccu_c8Ua_181	Ccu_c8Ua_181	1217	c_000000000012	M00005	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	None
K00012	Ccu_c8Ua_181	Ccu_c8Ua_181	2024	c_000000000026	M00014,M00129,M00997,M00999,M00761	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	None
K01785	Ccu_c8Ua_181	Ccu_c8Ua_181	1476	c_000000000023	M00632	aldose 1-epimerase [EC:5.1.3.3]	None
K00849	Ccu_c8Ua_181	Ccu_c8Ua_181	1472	c_000000000023	M00632,M00554	galactokinase [EC:2.7.1.6]	None
K00965	Ccu_c8Ua_181	Ccu_c8Ua_181	1473	c_000000000023	M00632,M00554	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	None
K01784	Ccu_c8Ua_181	Ccu_c8Ua_181	562	c_000000000001	M00632,M01004	UDP-glucose 4-epimerase [EC:5.1.3.2]	None
K01784	Ccu_c8Ua_181	Ccu_c8Ua_181	245	c_000000000001	M00632,M01004	UDP-glucose 4-epimerase [EC:5.1.3.2]	None
K00963	Ccu_c8Ua_181	Ccu_c8Ua_181	557	c_000000000001	M00129,M00854,M00549	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	None
K00963	Ccu_c8Ua_181	Ccu_c8Ua_181	1269	c_000000000012	M00129,M00854,M00549	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	None
K01809	Ccu_c8Ua_181	Ccu_c8Ua_181	1420	c_000000000023	M00114,M01000,M01006	mannose-6-phosphate isomerase [EC:5.3.1.8]	None
K02821	Ccu_c8Ua_181	Ccu_c8Ua_181	526	c_000000000001	M00550	ascorbate PTS system EIIA or EIIAB component [EC:2.7.1.194]	None
K03475	Ccu_c8Ua_181	Ccu_c8Ua_181	527	c_000000000001	M00550	ascorbate PTS system EIIC component	None
K00975	Ccu_c8Ua_181	Ccu_c8Ua_181	1128	c_000000000012	M00854,M00565	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	None
K00700	Ccu_c8Ua_181	Ccu_c8Ua_181	1047	c_000000000012	M00854,M00565	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	None
K00688	Ccu_c8Ua_181	Ccu_c8Ua_181	380	c_000000000001	M00855	glycogen phosphorylase [EC:2.4.1.1]	None
K00705	Ccu_c8Ua_181	Ccu_c8Ua_181	629	c_000000000001	M00855	4-alpha-glucanotransferase [EC:2.4.1.25]	None
K02438	Ccu_c8Ua_181	Ccu_c8Ua_181	400	c_000000000001	M00855	glycogen debranching enzyme [EC:3.2.1.196]	None
K01835	Ccu_c8Ua_181	Ccu_c8Ua_181	824	c_000000000001	M00855,M00549	phosphoglucomutase [EC:5.4.2.2]	None
K01214	Ccu_c8Ua_181	Ccu_c8Ua_181	400	c_000000000001	M00565	isoamylase [EC:3.2.1.68]	None
K03781	Ccu_c8Ua_181	Ccu_c8Ua_181	1705	c_000000000025	M00532	catalase [EC:1.11.1.6]	None
K00600	Ccu_c8Ua_181	Ccu_c8Ua_181	1193	c_000000000012	M00532,M00346,M00975,M00140,M00141	glycine hydroxymethyltransferase [EC:2.1.2.1]	None
K00281	Ccu_c8Ua_181	Ccu_c8Ua_181	479	c_000000000001	M00532,M00621	glycine cleavage system P protein (glycine dehydrogenase) [EC:1.4.4.2]	None
K00605	Ccu_c8Ua_181	Ccu_c8Ua_181	480	c_000000000001	M00532,M00621	glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]	None
K02437	Ccu_c8Ua_181	Ccu_c8Ua_181	481	c_000000000001	M00532	glycine cleavage system H protein	None
K05605	Ccu_c8Ua_181	Ccu_c8Ua_181	1243	c_000000000012	M00013	3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]	None
K11263	Ccu_c8Ua_181	Ccu_c8Ua_181	1466	c_000000000023	M00741,M00082,M00885,M00886,M00887	acetyl-CoA/propionyl-CoA/long-chain acyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.4.1.- 6.3.4.14]	None
K11263	Ccu_c8Ua_181	Ccu_c8Ua_181	1507	c_000000000023	M00741,M00082,M00885,M00886,M00887	acetyl-CoA/propionyl-CoA/long-chain acyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.4.1.- 6.3.4.14]	None
K27094	Ccu_c8Ua_181	Ccu_c8Ua_181	1499	c_000000000023	M00741,M00887	propionyl-CoA/long-chain acyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.3 6.4.1.- 2.1.3.15]	None
K27095	Ccu_c8Ua_181	Ccu_c8Ua_181	1500	c_000000000023	M00741,M00887	acyl-CoA carboxylase epsilon subunit	None
K01720	Ccu_c8Ua_181	Ccu_c8Ua_181	1517	c_000000000023	M00982	2-methylcitrate dehydratase [EC:4.2.1.79]	None
K03417	Ccu_c8Ua_181	Ccu_c8Ua_181	1516	c_000000000023	M00982	methylisocitrate lyase [EC:4.1.3.30]	None
K01092	Ccu_c8Ua_181	Ccu_c8Ua_181	388	c_000000000001	M00131	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	None
K01092	Ccu_c8Ua_181	Ccu_c8Ua_181	229	c_000000000001	M00131	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	None
K01958	Ccu_c8Ua_181	Ccu_c8Ua_181	1511	c_000000000023	M00173,M00614	pyruvate carboxylase [EC:6.4.1.1]	None
K01961	Ccu_c8Ua_181	Ccu_c8Ua_181	580	c_000000000001	M00376,M00082,M00613	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	None
K02160	Ccu_c8Ua_181	Ccu_c8Ua_181	581	c_000000000001	M00376,M00082,M00613	acetyl-CoA carboxylase biotin carboxyl carrier protein	None
K01938	Ccu_c8Ua_181	Ccu_c8Ua_181	81	c_000000000001	M00377,M00140,M00618	formate--tetrahydrofolate ligase [EC:6.3.4.3]	None
K01491	Ccu_c8Ua_181	Ccu_c8Ua_181	1547	c_000000000023	M00377,M00140,M00618	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	None
K00297	Ccu_c8Ua_181	Ccu_c8Ua_181	1850	c_000000000025	M00377,M00618	methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]	None
K13788	Ccu_c8Ua_181	Ccu_c8Ua_181	2166	c_000000000027	M00579,M00617,M00618	phosphate acetyltransferase [EC:2.3.1.8]	None
K00925	Ccu_c8Ua_181	Ccu_c8Ua_181	2165	c_000000000027	M00579,M00357,M00617,M00618	acetate kinase [EC:2.7.2.1]	None
K08264	Ccu_c8Ua_181	Ccu_c8Ua_181	2029	c_000000000026	M00567,M00357,M00356,M00563	heterodisulfide reductase subunit D [EC:1.8.98.1]	None
K00368	Ccu_c8Ua_181	Ccu_c8Ua_181	1072	c_000000000012	M00529,M00973	nitrite reductase (NO-forming) [EC:1.7.2.1]	None
K00368	Ccu_c8Ua_181	Ccu_c8Ua_181	1964	c_000000000026	M00529,M00973	nitrite reductase (NO-forming) [EC:1.7.2.1]	None
K00392	Ccu_c8Ua_181	Ccu_c8Ua_181	1426	c_000000000023	M00987,M00176,M00616	sulfite reductase (ferredoxin) [EC:1.8.7.1]	None
K00957	Ccu_c8Ua_181	Ccu_c8Ua_181	2037	c_000000000026	M00176,M00616	sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	None
K00956	Ccu_c8Ua_181	Ccu_c8Ua_181	2038	c_000000000026	M00176,M00616	sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]	None
K00390	Ccu_c8Ua_181	Ccu_c8Ua_181	2036	c_000000000026	M00176,M00616	phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	None
K19745	Ccu_c8Ua_181	Ccu_c8Ua_181	1911	c_000000000025	M00993	acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]	None
K03890	Ccu_c8Ua_181	Ccu_c8Ua_181	464	c_000000000001	M00151	quinol---cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	None
K03891	Ccu_c8Ua_181	Ccu_c8Ua_181	463	c_000000000001	M00151	quinol---cytochrome-c reductase cytochrome b subunit [EC:7.1.1.8]	None
K03889	Ccu_c8Ua_181	Ccu_c8Ua_181	465	c_000000000001	M00151	quinol---cytochrome-c reductase cytochrome c subunit [EC:7.1.1.8]	None
K02257	Ccu_c8Ua_181	Ccu_c8Ua_181	125	c_000000000001	M00154	heme o synthase [EC:2.5.1.141]	None
K02259	Ccu_c8Ua_181	Ccu_c8Ua_181	123	c_000000000001	M00154	heme a synthase [EC:1.17.99.9]	None
K02275	Ccu_c8Ua_181	Ccu_c8Ua_181	468	c_000000000001	M00155	cytochrome c oxidase subunit II [EC:7.1.1.9]	None
K02274	Ccu_c8Ua_181	Ccu_c8Ua_181	808	c_000000000001	M00155	cytochrome c oxidase subunit I [EC:7.1.1.9]	None
K02276	Ccu_c8Ua_181	Ccu_c8Ua_181	466	c_000000000001	M00155	cytochrome c oxidase subunit III [EC:7.1.1.9]	None
K27109	Ccu_c8Ua_181	Ccu_c8Ua_181	467	c_000000000001	M00155	cytochrome c oxidase subunit IV [EC:7.1.1.9]	None
K02111	Ccu_c8Ua_181	Ccu_c8Ua_181	1056	c_000000000012	M00157	F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]	None
K02112	Ccu_c8Ua_181	Ccu_c8Ua_181	1054	c_000000000012	M00157	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	None
K02113	Ccu_c8Ua_181	Ccu_c8Ua_181	1057	c_000000000012	M00157	F-type H+-transporting ATPase subunit delta	None
K02114	Ccu_c8Ua_181	Ccu_c8Ua_181	1053	c_000000000012	M00157	F-type H+-transporting ATPase subunit epsilon	None
K02115	Ccu_c8Ua_181	Ccu_c8Ua_181	1055	c_000000000012	M00157	F-type H+-transporting ATPase subunit gamma	None
K02108	Ccu_c8Ua_181	Ccu_c8Ua_181	1060	c_000000000012	M00157	F-type H+-transporting ATPase subunit a	None
K02109	Ccu_c8Ua_181	Ccu_c8Ua_181	1058	c_000000000012	M00157	F-type H+-transporting ATPase subunit b	None
K02110	Ccu_c8Ua_181	Ccu_c8Ua_181	1059	c_000000000012	M00157	F-type H+-transporting ATPase subunit c	None
K00645	Ccu_c8Ua_181	Ccu_c8Ua_181	2343	c_000000000030	M00082,M00873,M00874,M00885,M00886	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	None
K00059	Ccu_c8Ua_181	Ccu_c8Ua_181	736	c_000000000001	M00083,M00874,M00572	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	None
K01897	Ccu_c8Ua_181	Ccu_c8Ua_181	2184	c_000000000028	M00086	long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]	None
K01897	Ccu_c8Ua_181	Ccu_c8Ua_181	628	c_000000000001	M00086	long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]	None
K01897	Ccu_c8Ua_181	Ccu_c8Ua_181	2181	c_000000000028	M00086	long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]	None
K01897	Ccu_c8Ua_181	Ccu_c8Ua_181	2182	c_000000000028	M00086	long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]	None
K02078	Ccu_c8Ua_181	Ccu_c8Ua_181	516	c_000000000001	M00885,M00886,M00848	acyl carrier protein	None
K27093	Ccu_c8Ua_181	Ccu_c8Ua_181	2004	c_000000000026	M00887	long-chain acyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.- 2.1.3.-]	None
K12428	Ccu_c8Ua_181	Ccu_c8Ua_181	2002	c_000000000026	M00887	fatty acyl-AMP ligase FadD32 [EC:6.2.1.-]	None
K12437	Ccu_c8Ua_181	Ccu_c8Ua_181	2003	c_000000000026	M00887	polyketide synthase 13	None
K27306	Ccu_c8Ua_181	Ccu_c8Ua_181	772	c_000000000001	M00887	mycolic acid reductase	None
K18851	Ccu_c8Ua_181	Ccu_c8Ua_181	938	c_000000000005	M00887	diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase / mycolyltransferase Ag85 [EC:2.3.1.20 2.3.1.122 2.3.1.-]	None
K18851	Ccu_c8Ua_181	Ccu_c8Ua_181	939	c_000000000005	M00887	diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase / mycolyltransferase Ag85 [EC:2.3.1.20 2.3.1.122 2.3.1.-]	None
K18851	Ccu_c8Ua_181	Ccu_c8Ua_181	1996	c_000000000026	M00887	diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase / mycolyltransferase Ag85 [EC:2.3.1.20 2.3.1.122 2.3.1.-]	None
K18851	Ccu_c8Ua_181	Ccu_c8Ua_181	1999	c_000000000026	M00887	diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase / mycolyltransferase Ag85 [EC:2.3.1.20 2.3.1.122 2.3.1.-]	None
K09828	Ccu_c8Ua_181	Ccu_c8Ua_181	1622	c_000000000023	M00101,M00917	Delta24-sterol reductase [EC:1.3.1.72 1.3.1.-]	None
K00655	Ccu_c8Ua_181	Ccu_c8Ua_181	458	c_000000000001	M00089	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	None
K00655	Ccu_c8Ua_181	Ccu_c8Ua_181	1982	c_000000000026	M00089	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	None
K01046	Ccu_c8Ua_181	Ccu_c8Ua_181	1809	c_000000000025	M00098	triacylglycerol lipase [EC:3.1.1.3]	None
K00981	Ccu_c8Ua_181	Ccu_c8Ua_181	334	c_000000000001	M00093	phosphatidate cytidylyltransferase [EC:2.7.7.41]	None
K00764	Ccu_c8Ua_181	Ccu_c8Ua_181	887	c_000000000003	M00048	amidophosphoribosyltransferase [EC:2.4.2.14]	None
K01945	Ccu_c8Ua_181	Ccu_c8Ua_181	2076	c_000000000027	M00048	phosphoribosylamine---glycine ligase [EC:6.3.4.13]	None
K11175	Ccu_c8Ua_181	Ccu_c8Ua_181	1292	c_000000000012	M00048	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	None
K08289	Ccu_c8Ua_181	Ccu_c8Ua_181	2169	c_000000000027	M00048	phosphoribosylglycinamide formyltransferase 2 [EC:6.3.1.21]	None
K23269	Ccu_c8Ua_181	Ccu_c8Ua_181	892	c_000000000003	M00048	phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]	None
K23264	Ccu_c8Ua_181	Ccu_c8Ua_181	894	c_000000000003	M00048	phosphoribosylformylglycinamidine synthase subunit PurS [EC:6.3.5.3]	None
K23265	Ccu_c8Ua_181	Ccu_c8Ua_181	893	c_000000000003	M00048	phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]	None
K01933	Ccu_c8Ua_181	Ccu_c8Ua_181	886	c_000000000003	M00048	phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	None
K01589	Ccu_c8Ua_181	Ccu_c8Ua_181	1486	c_000000000023	M00048	5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]	None
K01588	Ccu_c8Ua_181	Ccu_c8Ua_181	1485	c_000000000023	M00048	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	None
K01923	Ccu_c8Ua_181	Ccu_c8Ua_181	898	c_000000000003	M00048	phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	None
K01756	Ccu_c8Ua_181	Ccu_c8Ua_181	2075	c_000000000027	M00048,M00049	adenylosuccinate lyase [EC:4.3.2.2]	None
K00602	Ccu_c8Ua_181	Ccu_c8Ua_181	1291	c_000000000012	M00048	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	None
K01939	Ccu_c8Ua_181	Ccu_c8Ua_181	2072	c_000000000026	M00049	adenylosuccinate synthase [EC:6.3.4.4]	None
K00939	Ccu_c8Ua_181	Ccu_c8Ua_181	1619	c_000000000023	M00049	adenylate kinase [EC:2.7.4.3]	None
K00940	Ccu_c8Ua_181	Ccu_c8Ua_181	728	c_000000000001	M00049,M00050,M00053,M00052,M00938	nucleoside-diphosphate kinase [EC:2.7.4.6]	None
K00088	Ccu_c8Ua_181	Ccu_c8Ua_181	1566	c_000000000023	M00050	IMP dehydrogenase [EC:1.1.1.205]	None
K01951	Ccu_c8Ua_181	Ccu_c8Ua_181	1563	c_000000000023	M00050	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	None
K00942	Ccu_c8Ua_181	Ccu_c8Ua_181	153	c_000000000001	M00050	guanylate kinase [EC:2.7.4.8]	None
K00525	Ccu_c8Ua_181	Ccu_c8Ua_181	811	c_000000000001	M00053,M00938	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	None
K00526	Ccu_c8Ua_181	Ccu_c8Ua_181	809	c_000000000001	M00053,M00938	ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	None
K01081	Ccu_c8Ua_181	Ccu_c8Ua_181	193	c_000000000001	M00958,M00959	5'-nucleotidase [EC:3.1.3.5]	None
K02566	Ccu_c8Ua_181	Ccu_c8Ua_181	517	c_000000000001	M00958,M00959	5'-nucleotidase [EC:3.1.3.5]	None
K05810	Ccu_c8Ua_181	Ccu_c8Ua_181	433	c_000000000001	M00958,M00959,M00034	purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]	None
K01955	Ccu_c8Ua_181	Ccu_c8Ua_181	156	c_000000000001	M00051,M00978	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	None
K01956	Ccu_c8Ua_181	Ccu_c8Ua_181	157	c_000000000001	M00051,M00978	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	None
K00609	Ccu_c8Ua_181	Ccu_c8Ua_181	986	c_000000000008	M00051	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	None
K00609	Ccu_c8Ua_181	Ccu_c8Ua_181	159	c_000000000001	M00051	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	None
K01465	Ccu_c8Ua_181	Ccu_c8Ua_181	985	c_000000000008	M00051	dihydroorotase [EC:3.5.2.3]	None
K01465	Ccu_c8Ua_181	Ccu_c8Ua_181	158	c_000000000001	M00051	dihydroorotase [EC:3.5.2.3]	None
K00254	Ccu_c8Ua_181	Ccu_c8Ua_181	91	c_000000000001	M00051	dihydroorotate dehydrogenase [EC:1.3.5.2]	None
K00762	Ccu_c8Ua_181	Ccu_c8Ua_181	2065	c_000000000026	M00051	orotate phosphoribosyltransferase [EC:2.4.2.10]	None
K01591	Ccu_c8Ua_181	Ccu_c8Ua_181	155	c_000000000001	M00051	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	None
K09903	Ccu_c8Ua_181	Ccu_c8Ua_181	336	c_000000000001	M00052	uridylate kinase [EC:2.7.4.22]	None
K01520	Ccu_c8Ua_181	Ccu_c8Ua_181	226	c_000000000001	M00938	dUTP diphosphatase [EC:3.6.1.23]	None
K00560	Ccu_c8Ua_181	Ccu_c8Ua_181	1312	c_000000000012	M00938	thymidylate synthase [EC:2.1.1.45]	None
K03465	Ccu_c8Ua_181	Ccu_c8Ua_181	289	c_000000000001	M00938	thymidylate synthase (FAD) [EC:2.1.1.148]	None
K00943	Ccu_c8Ua_181	Ccu_c8Ua_181	1417	c_000000000023	M00938	dTMP kinase [EC:2.7.4.9]	None
K00058	Ccu_c8Ua_181	Ccu_c8Ua_181	1004	c_000000000012	M00020	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	None
K00831	Ccu_c8Ua_181	Ccu_c8Ua_181	1327	c_000000000012	M00020,M00124	phosphoserine aminotransferase [EC:2.6.1.52]	None
K01079	Ccu_c8Ua_181	Ccu_c8Ua_181	807	c_000000000001	M00020	phosphoserine phosphatase [EC:3.1.3.3]	None
K00928	Ccu_c8Ua_181	Ccu_c8Ua_181	1709	c_000000000025	M00018,M00033,M00017,M00016,M00525,M00526,M00527	aspartate kinase [EC:2.7.2.4]	None
K00133	Ccu_c8Ua_181	Ccu_c8Ua_181	1708	c_000000000025	M00018,M00033,M00017,M00016,M00525,M00526,M00527	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	None
K00003	Ccu_c8Ua_181	Ccu_c8Ua_181	1080	c_000000000012	M00018,M00017	homoserine dehydrogenase [EC:1.1.1.3]	None
K00872	Ccu_c8Ua_181	Ccu_c8Ua_181	1079	c_000000000012	M00018	homoserine kinase [EC:2.7.1.39]	None
K01733	Ccu_c8Ua_181	Ccu_c8Ua_181	494	c_000000000001	M00018	threonine synthase [EC:4.2.3.1]	None
K00108	Ccu_c8Ua_181	Ccu_c8Ua_181	1789	c_000000000025	M00555	choline dehydrogenase [EC:1.1.99.1]	None
