module,module_name,module_subcategory,n
M00995,"UDP-MurNAc biosynthesis, Fru-6P => UDP-MurNAc",Nucleotide sugar biosynthesis,30
M01004,"UDP-Galf biosynthesis, UDP-Glc => UDP-Galf",Nucleotide sugar biosynthesis,30
M00888,"Galactofuranan biosynthesis, decaprenyl phosphate + UDP-GlcNAc (+ dTDP-Rha/UDP-Galf) => GL-5",Other polysaccharide metabolism,30
M00086,"beta-Oxidation, acyl-CoA synthesis",Fatty acid metabolism,30
M00887,"Mycolic acid biosynthesis, meromycolic acid + alpha-carboxyacyl-CoA + trehalose => TMM => TDM/mAGP/GMM",Fatty acid metabolism,30
M00120,"Coenzyme A biosynthesis, pantothenate => CoA",Cofactor and vitamin metabolism,30
M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme",Cofactor and vitamin metabolism,30
M00125,"Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD",Cofactor and vitamin metabolism,30
M00126,"Tetrahydrofolate biosynthesis, GTP => THF",Cofactor and vitamin metabolism,30
M00881,"Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H",Cofactor and vitamin metabolism,30
M00899,"Thiamine salvage pathway, HMP/HET => TMP",Cofactor and vitamin metabolism,30
M00916,"Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P",Cofactor and vitamin metabolism,30
M00926,"Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme",Cofactor and vitamin metabolism,30
M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP",Purine metabolism,30
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",Purine metabolism,30
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP",Purine metabolism,30
M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP",Purine metabolism,30
M00938,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP",Pyrimidine metabolism,30
M00023,"Tryptophan biosynthesis, chorismate => tryptophan",Aromatic amino acid metabolism,29
M00555,"Betaine biosynthesis, choline => betaine",Serine and threonine metabolism,29
M00140,"C1-unit interconversion, prokaryotes",Cofactor and vitamin metabolism,29
M00028,"Ornithine biosynthesis, glutamate => ornithine",Arginine and proline metabolism,26
M00016,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",Lysine metabolism,26
M00017,"Methionine biosynthesis, aspartate => homoserine => methionine",Cysteine and methionine metabolism,25
M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA",Central carbohydrate metabolism,25
M01014,"UDP-ManNAcA biosynthesis, UDP-GlcNAc => UDP-ManNAcA",Nucleotide sugar biosynthesis,25
M00982,Methylcitrate cycle,Other carbohydrate metabolism,24
