	Cmq_c19Ua_121	Ctu_DSM_44922	Ccu_CTNIH19	Ccu_c8Ua_181	Cha_CTNIH22	Cha_CTNIH20	Cha_CTNIH21	Cha_CTNIH23	Cke_CTNIH27	Cke_EYE_437	Cke_FDAARGOS_1055	Cna_KPL2825	Cke_YSMAA5_1_D11	Cna_KPL3804	Cna_MSK194	Cke_LK1134	Cna_MSK185	Cna_KPL3649	Cna_MSK071	Cke_CTNIH24	Cna_KPL4035	Cna_KPL4072	Ctu_MSK207	Cmq_KPL4083	Cmq_MSK144	Ctu_KPL3807	Ctu_SK141	Cyo_MSK136	Cyo_KPL2619	Cyo_c21Ua_68
Cke_FDAARGOS_1055	0.8393076110000001	0.8206995386	0.8212052444	0.8336136645000001	0.8282122030000001	0.826516741	0.8418638827	0.8273529787	0.9044311087	0.8993062794000001	1.0	0.9027142453	0.9060532513	0.903866351	0.9039388778	0.9086705564	0.9023864877000001	0.9225414017	0.9204718124000001	0.8826679233	0.8858472118	0.8949923233	0.8301030514000001	0.8432062226	0.8217668316000001	0.8051772229	0.8256563277000001	0.8644359596000001	0.8425340618	0.8483144064
Cna_KPL2825	0.8504019006	0.8269868418	0.840796159	0.8476651597	0.8418663	0.8397693747	0.8432152207	0.8356756091	0.9130021123000001	0.9034980767	0.9199262206000001	0.9999923011	0.9174674490000001	0.9177968790000001	0.9194087765000001	0.9118910458	0.9153794381	0.9188398715	0.91776892	0.8969799818	0.9049272276	0.9074796011	0.8364377959	0.8513204957	0.8364276658	0.8177632067	0.8445268627	0.8705169863000001	0.8669001446	0.8658255463000001
Cke_YSMAA5_1_D11	0.8475446680000001	0.8252090671000001	0.8384426111000001	0.8394722664000001	0.8427413519	0.8324182628	0.8414467442	0.8321870829	0.9349765202	0.8969206832000001	0.9180629935	0.9142181695	1.0	0.9868372172000001	0.9887079655000001	0.917664962	0.9209633972000001	0.9378978305000001	0.9319169039	0.9165468551	0.9260224184	0.9311513967	0.8329903829	0.8489988903000001	0.8511695695	0.8148964314	0.837129509	0.8626019202	0.8593549477	0.8765474984
Cna_KPL3804	0.8545080899	0.8281152295	0.8434137334	0.8442206105000001	0.8492556538	0.8410106075	0.8497897723000001	0.8384267281000001	0.9365327245	0.9039291088	0.9266332137000001	0.9231577799	0.9848940557	0.9999983716	0.98971822	0.9165106107000001	0.9211108687	0.9408634806	0.9364032659	0.9183319872000001	0.9287424116	0.9301456938	0.8396533278	0.8518256917	0.8471142948	0.8202931626000001	0.8423670729	0.8740950112	0.8701294260000001	0.8758960325
Cna_MSK194	0.861739706	0.8299870089	0.8480375593	0.8493805452000001	0.85128697	0.8452703933	0.8537027043000001	0.8443087744000001	0.9392543906	0.9097886653	0.9301790867	0.9289558418	0.9897945375	0.9923111495	0.9999987698	0.9201770199	0.9250728698	0.9426165712000001	0.9399195275000001	0.9203471998	0.9285367482	0.9342658645	0.8426803784	0.8553101867	0.8546762153	0.8244104394	0.8480199262	0.8725594563	0.8706153049	0.8775668458
Cke_LK1134	0.8607779007	0.845042293	0.8551374503	0.8550840980000001	0.8491938432	0.8488394023	0.8483348305	0.8428813198	0.9449454318	0.9450446918000001	0.9449731419	0.9290737552	0.9308099783	0.9280199446	0.9304278272000001	1.0	0.9520706467000001	0.9531070867	0.9483364021	0.9234175885	0.9209948170000001	0.9217103163	0.8601964025000001	0.8658368529	0.8571263729	0.833993826	0.8576239137	0.8793126409	0.8737937840000001	0.8861557919
Cna_MSK185	0.8589246378000001	0.8504383843000001	0.8489863058	0.8503065270000001	0.8494185505	0.8426188343000001	0.8474703589	0.8341181590000001	0.9341941417	0.9315578198000001	0.9351909005000001	0.9279214427	0.9296351756000001	0.9284439273	0.9297085212	0.9484211324	0.9998928659	0.95067342	0.9464634636	0.9188644944000001	0.9232264987000001	0.9266069902	0.8598105540000001	0.8651301720000001	0.8549998228000001	0.8289629506	0.8600174052	0.885090895	0.8796781528000001	0.8898736065
Cna_KPL3649	0.8395990749000001	0.8282262103	0.8309092354000001	0.8336059023	0.831770275	0.8252663365	0.8302315579	0.8232076253	0.9339418923	0.9099776274	0.9311966765	0.9097966727000001	0.9231239287	0.9249447105	0.9250915607	0.9254201681	0.9266868512	0.999989568	0.9855513061000001	0.9214359541	0.9130245681	0.9214419725	0.83415318	0.845362744	0.8396351856000001	0.8112132554	0.8372306142	0.8622300524000001	0.8588589179	0.8627075162000001
Cna_MSK071	0.8350915503	0.8172501046	0.8229395708	0.8254400191	0.8195361718	0.8169345102000001	0.8181076289	0.8123277082	0.9298687016	0.9038967146	0.9237492778	0.9025510550000001	0.9221936204000001	0.9209412046000001	0.9227801797	0.9228646570000001	0.924283238	0.9856340778	0.9981418979000001	0.9182785758	0.9073359766	0.9152393855000001	0.8295284015000001	0.8369504493000001	0.8384240202000001	0.8021928234	0.8310302644	0.8520416011	0.8494670359000001	0.856541611
Cke_CTNIH24	0.8497928358	0.8385182935000001	0.841474998	0.8445766747000001	0.8376906924	0.8324400141	0.8367786256	0.8319717982	0.9234822271	0.8982903418	0.9048445527000001	0.8996629089	0.9152878391	0.9163586851000001	0.9171789767	0.913427564	0.9131895982	0.9364192811000001	0.9336883599	0.9999695436	0.9201519245	0.9208089699	0.8488206684	0.847900886	0.8501558757000001	0.8282508419	0.8495134493000001	0.8602787611	0.8593139033	0.8629142523000001
Cna_KPL4035	0.8504699648	0.8276069877000001	0.8431436349	0.8459130267	0.8361121033000001	0.8314242796	0.8300444766	0.8261668387000001	0.9277442341000001	0.8907492852000001	0.9071010110000001	0.9110854777	0.9253438498000001	0.9282437195000001	0.9273108031	0.9120375580000001	0.9163045907	0.9268944973000001	0.9218992352000001	0.9203538885	1.0	0.9285478960000001	0.8381341018	0.8499619168	0.8468088386	0.8173188112	0.8435640181	0.8723421259	0.8690830345	0.8694508188000001
Cna_KPL4072	0.8497976939	0.8256312164	0.8429656757	0.8445824097	0.8391682498	0.8350314689	0.8354737329	0.8303817763	0.9431333522	0.8969606708000001	0.9164268178	0.9108550273	0.9284345082000001	0.9293076017	0.9306143834	0.9125505765	0.9172909272	0.9335530088	0.9297731427	0.9204659984	0.9290401198	0.9999955079	0.8395790693	0.8559044481	0.8499741094000001	0.8176990514	0.8407784499000001	0.8731453909	0.868091821	0.8715159975000001
Ctu_MSK207	0.9056798063	0.9013836112	0.8815425027	0.8775721402000001	0.8831712377000001	0.8852251392	0.8861889358	0.8748301796	0.8856237597000001	0.884981514	0.8968116786	0.8857179557	0.883422998	0.8809726168	0.8829366039000001	0.8943129149	0.8919246175000001	0.8914818962000001	0.8930374151	0.8933816587000001	0.880405728	0.8831061568	0.9999807326000001	0.8957977868	0.9044813759	0.8970672924	0.9089997881	0.8854803248	0.8810299907	0.8843208574
Cmq_KPL4083	0.8979643945	0.8702711070000001	0.8607772511	0.8576994246	0.8735087769000001	0.8756241779	0.8739765291	0.8725825265	0.8781530686000001	0.8722641017	0.8940377155	0.8805704895	0.8795979686000001	0.8786368051000001	0.8803336689	0.8839086924	0.8839293038	0.8866470620000001	0.8850696602	0.8780096301	0.8775006551000001	0.8844996923	0.8828251225	0.9999655075	0.9040010062	0.8678940676	0.8767338275000001	0.8815531057	0.8823935454	0.8819577618000001
Cmq_MSK144	0.9161026479000001	0.8743310898000001	0.874763378	0.8745395145	0.8821204248000001	0.8850833999000001	0.8866547330000001	0.8806344343	0.8990276947	0.8840678658000001	0.8911898989	0.8866337190000001	0.8940688179	0.8931026024000001	0.8935794917000001	0.8991743639	0.8949243882000001	0.8979143812	0.8948703522	0.9016171351000001	0.892352531	0.8978817881000001	0.9020288381	0.9197908206000001	0.9995376918000001	0.8817245896	0.8919927197	0.8961749360000001	0.8928727349000001	0.9026468214000001
Ctu_KPL3807	0.9006365863	0.8897514824	0.8705837413	0.8721574552	0.8886987752000001	0.8908491040000001	0.8973287501	0.8924266677	0.8775035482	0.8680646870000001	0.8759242735	0.8738607791	0.8691516147	0.8680651147	0.8691674416	0.8741897234	0.8693304166	0.8723460956	0.8730980904000001	0.8750961381000001	0.8640437817000001	0.8688551798	0.899429887	0.8869454038000001	0.8835554384000001	0.9999846008000001	0.8966541790000001	0.8696512335000001	0.8686635452	0.868616492
Ctu_SK141	0.8922922056	0.8983286409000001	0.8652357392000001	0.8618465675	0.8606793266	0.8569242592	0.8561005724	0.8531721425000001	0.8764056737	0.8749846665000001	0.8757413286	0.8785959892	0.8708868881	0.8673860085	0.8702587953	0.8758888672	0.8793071251000001	0.8763985076	0.8777423732	0.8776711332	0.8657120781000001	0.8692656499	0.8930851201000001	0.8710698359	0.8765907293	0.8757780025	0.9999995785	0.8674302701000001	0.8675849748000001	0.8670213775000001
Cyo_MSK136	0.8521271599	0.8273423152	0.8226495201	0.8476299147	0.8497749160000001	0.8308573756000001	0.8495301762	0.8217741822	0.8704173277	0.865101192	0.8821192774000001	0.8702217778	0.8639891782	0.8637049252000001	0.8657221135000001	0.8617611186	0.8702040372000001	0.8693121682	0.8679747680000001	0.858783115	0.8626187159	0.8649358818	0.8337611912	0.8467428841	0.8446728772000001	0.8172458909	0.8340805222000001	0.9995484208000001	0.9207990533	0.9360406583
Cyo_KPL2619	0.8959933520000001	0.8697809648	0.8728822277	0.8785325960000001	0.8751456905	0.872817618	0.8699879707	0.8642878700000001	0.9124301302000001	0.9102232008000001	0.9088132654000001	0.9174008221000001	0.9102312770000001	0.9122048466	0.9135752511	0.9051798231	0.9147718047000001	0.9145537471	0.9133563434	0.9064928441000001	0.9081114856	0.9114648111	0.8807118963	0.8970279564	0.8914324213	0.8603194777000001	0.8774393328000001	0.9727445071	0.9999353904	0.9706986768
Cyo_c21Ua_68	0.8692945739	0.8463968961	0.8483451387000001	0.8549371088000001	0.8527191096000001	0.8478801415	0.8504832099	0.8392083808	0.8938732352000001	0.8879773038000001	0.8867292630000001	0.8887653429	0.8951845523	0.8916514894	0.8937104654	0.8892166025	0.8983075684	0.8940826296000001	0.8944060878000001	0.8850670125000001	0.8851211303000001	0.8875572660000001	0.8574719056000001	0.8706004792	0.8754602619	0.8343943901	0.8572583482	0.9630479172	0.9442756846	1.0
