Genome1,Genome2,DDH,CI,Distance,Prob_DDH_70,styled_Genome1,styled_Genome2
CTNIH2,MSK163,80.5,[77.6 - 83.1%],0.0228,90.96,CTNIH2,MSK163
CTNIH2,MSK185,78.2,[75.3 - 80.9%],0.0255,89.11,CTNIH2,MSK185
CTNIH2,MSK194,80.4,[77.5 - 83%],0.0229,90.88,CTNIH2,MSK194
CTNIH2,P5_C4,84.8,[82.1 - 87.2%],0.0178,93.65,CTNIH2,P5_C4
CTNIH2,P7_C1,84.4,[81.6 - 86.8%],0.0183,93.4,CTNIH2,P7_C1
CTNIH2,P7_F1,84.4,[81.6 - 86.8%],0.0183,93.4,CTNIH2,P7_F1
CTNIH2,SB,67.9,[64.9 - 70.7%],0.0391,74.12,CTNIH2,SB
CTNIH2,YSMAA1_1_C6,78.9,[76 - 81.6%],0.0246,89.74,CTNIH2,YSMAA1_1_C6
CTNIH2,YSMAA1_2_B7,80.5,[77.5 - 83.1%],0.0228,90.93,CTNIH2,YSMAA1_2_B7
CTNIH2,YSMAA1_2_G9,79.6,[76.7 - 82.3%],0.0238,90.31,CTNIH2,YSMAA1_2_G9
CTNIH2,YSMAA3_1_H1,81.1,[78.2 - 83.7%],0.022,91.42,CTNIH2,YSMAA3_1_H1
CTNIH2,YSMAA5_1_D11,80.2,[77.3 - 82.9%],0.0231,90.77,CTNIH2,YSMAA5_1_D11
CTNIH6,CT01,80.3,[77.4 - 82.9%],0.023,90.83,CTNIH6,CT01
CTNIH6,CTNIH2,80.3,[77.3 - 82.9%],0.0231,90.78,CTNIH6,CTNIH2
CTNIH6,CTNIH6,100,[100 - NaN%],0,98.3,CTNIH6,CTNIH6
CTNIH6,CTNIH14,82.1,[79.2 - 84.6%],0.0209,92.07,CTNIH6,CTNIH14
CTNIH6,CTNIH24,80.2,[77.3 - 82.9%],0.0231,90.77,CTNIH6,CTNIH24
CTNIH6,CTNIH27,100,[100 - 100%],0,98.3,CTNIH6,CTNIH27
CTNIH6,EYE_346,81,[78.1 - 83.6%],0.0222,91.34,CTNIH6,EYE_346
CTNIH6,EYE_437,80.6,[77.7 - 83.3%],0.0226,91.07,CTNIH6,EYE_437
CTNIH6,FDAARGOS_1055,85.3,[82.6 - 87.7%],0.0173,93.89,CTNIH6,FDAARGOS_1055
CTNIH6,KPL2825,85.1,[82.4 - 87.4%],0.0175,93.77,CTNIH6,KPL2825
CTNIH6,KPL3649,85.8,[83.1 - 88.1%],0.0167,94.11,CTNIH6,KPL3649
CTNIH6,KPL3804,80.8,[77.9 - 83.4%],0.0225,91.16,CTNIH6,KPL3804
CTNIH6,KPL4035,78.3,[75.3 - 81%],0.0254,89.17,CTNIH6,KPL4035
CTNIH6,KPL4072,80.6,[77.7 - 83.3%],0.0226,91.07,CTNIH6,KPL4072
CTNIH6,LK1134,81.9,[79 - 84.4%],0.0212,91.92,CTNIH6,LK1134
CTNIH6,MSK071,85.8,[83.1 - 88.1%],0.0167,94.11,CTNIH6,MSK071
CTNIH6,MSK163,80.6,[77.7 - 83.2%],0.0226,91.06,CTNIH6,MSK163
CTNIH6,MSK185,81.6,[78.7 - 84.2%],0.0215,91.76,CTNIH6,MSK185
CTNIH6,MSK194,80.9,[78 - 83.5%],0.0223,91.24,CTNIH6,MSK194
CTNIH6,P5_C4,77.7,[74.7 - 80.4%],0.0261,88.64,CTNIH6,P5_C4
CTNIH6,P7_C1,80.7,[77.8 - 83.3%],0.0225,91.12,CTNIH6,P7_C1
CTNIH6,P7_F1,80.7,[77.8 - 83.3%],0.0225,91.14,CTNIH6,P7_F1
CTNIH6,SB,66.6,[63.7 - 69.5%],0.0409,71.39,CTNIH6,SB
CTNIH6,YSMAA1_1_C6,82.9,[80.1 - 85.4%],0.0199,92.59,CTNIH6,YSMAA1_1_C6
CTNIH6,YSMAA1_2_B7,84.6,[81.8 - 87%],0.0181,93.52,CTNIH6,YSMAA1_2_B7
CTNIH6,YSMAA1_2_G9,82.4,[79.5 - 84.9%],0.0206,92.25,CTNIH6,YSMAA1_2_G9
CTNIH6,YSMAA3_1_H1,81.5,[78.6 - 84.1%],0.0216,91.69,CTNIH6,YSMAA3_1_H1
CTNIH6,YSMAA5_1_D11,80.7,[77.7 - 83.3%],0.0226,91.08,CTNIH6,YSMAA5_1_D11
CTNIH14,CT01,83.4,[80.5 - 85.8%],0.0195,92.84,CTNIH14,CT01
CTNIH14,CTNIH2,78.7,[75.8 - 81.4%],0.0249,89.54,CTNIH14,CTNIH2
CTNIH14,CTNIH6,82.1,[79.2 - 84.6%],0.0209,92.07,CTNIH14,CTNIH6
CTNIH14,CTNIH14,100,[100 - NaN%],0,98.3,CTNIH14,CTNIH14
CTNIH14,CTNIH24,78.7,[75.7 - 81.4%],0.0249,89.53,CTNIH14,CTNIH24
CTNIH14,CTNIH27,82.1,[79.3 - 84.7%],0.0209,92.08,CTNIH14,CTNIH27
CTNIH14,EYE_346,81.2,[78.3 - 83.8%],0.0219,91.48,CTNIH14,EYE_346
CTNIH14,EYE_437,82.1,[79.3 - 84.7%],0.0209,92.1,CTNIH14,EYE_437
CTNIH14,FDAARGOS_1055,85.6,[82.9 - 87.9%],0.0169,94.03,CTNIH14,FDAARGOS_1055
CTNIH14,KPL2825,85,[82.3 - 87.4%],0.0176,93.73,CTNIH14,KPL2825
CTNIH14,KPL3649,81.9,[79 - 84.4%],0.0212,91.92,CTNIH14,KPL3649
CTNIH14,KPL3804,81.2,[78.3 - 83.8%],0.0219,91.49,CTNIH14,KPL3804
CTNIH14,KPL4035,77.3,[74.3 - 80%],0.0266,88.22,CTNIH14,KPL4035
CTNIH14,KPL4072,79.9,[77 - 82.5%],0.0235,90.51,CTNIH14,KPL4072
CTNIH14,LK1134,85.7,[83.1 - 88%],0.0168,94.09,CTNIH14,LK1134
CTNIH14,MSK071,81.7,[78.9 - 84.3%],0.0213,91.83,CTNIH14,MSK071
CTNIH14,MSK163,81.2,[78.3 - 83.8%],0.0219,91.47,CTNIH14,MSK163
CTNIH14,MSK185,82.2,[79.4 - 84.7%],0.0208,92.14,CTNIH14,MSK185
CTNIH14,MSK194,81.2,[78.3 - 83.8%],0.0219,91.47,CTNIH14,MSK194
CTNIH14,P5_C4,76.9,[73.9 - 79.6%],0.0271,87.84,CTNIH14,P5_C4
CTNIH14,P7_C1,81.1,[78.2 - 83.7%],0.0221,91.4,CTNIH14,P7_C1
CTNIH14,P7_F1,81.1,[78.2 - 83.7%],0.0221,91.38,CTNIH14,P7_F1
CTNIH14,SB,67.3,[64.3 - 70.1%],0.04,72.8,CTNIH14,SB
CTNIH14,YSMAA1_1_C6,84.4,[81.7 - 86.8%],0.0183,93.43,CTNIH14,YSMAA1_1_C6
CTNIH14,YSMAA1_2_B7,85.6,[82.9 - 87.9%],0.017,94.01,CTNIH14,YSMAA1_2_B7
CTNIH14,YSMAA1_2_G9,86,[83.3 - 88.3%],0.0165,94.2,CTNIH14,YSMAA1_2_G9
CTNIH14,YSMAA3_1_H1,80.8,[77.9 - 83.4%],0.0224,91.2,CTNIH14,YSMAA3_1_H1
CTNIH14,YSMAA5_1_D11,81,[78.1 - 83.6%],0.0222,91.34,CTNIH14,YSMAA5_1_D11
CTNIH24,CT01,77.7,[74.7 - 80.4%],0.0262,88.58,CTNIH24,CT01
CTNIH24,CTNIH2,100,[99.9 - 100%],1e-4,98.29,CTNIH24,CTNIH2
CTNIH24,CTNIH6,80.2,[77.3 - 82.9%],0.0231,90.77,CTNIH24,CTNIH6
CTNIH24,CTNIH14,78.7,[75.7 - 81.4%],0.0249,89.53,CTNIH24,CTNIH14
CTNIH24,CTNIH24,100,[100 - NaN%],0,98.3,CTNIH24,CTNIH24
CTNIH24,CTNIH27,80.1,[77.1 - 82.7%],0.0233,90.64,CTNIH24,CTNIH27
CTNIH24,EYE_346,80.6,[77.7 - 83.2%],0.0227,91.02,CTNIH24,EYE_346
CTNIH24,EYE_437,78.5,[75.5 - 81.2%],0.0251,89.35,CTNIH24,EYE_437
CTNIH24,FDAARGOS_1055,80.1,[77.1 - 82.7%],0.0233,90.65,CTNIH24,FDAARGOS_1055
CTNIH24,KPL2825,80,[77.1 - 82.7%],0.0233,90.6,CTNIH24,KPL2825
CTNIH24,KPL3649,79.7,[76.8 - 82.4%],0.0237,90.39,CTNIH24,KPL3649
CTNIH24,KPL3804,80.4,[77.5 - 83%],0.0229,90.88,CTNIH24,KPL3804
CTNIH24,KPL4035,84.8,[82 - 87.2%],0.0179,93.61,CTNIH24,KPL4035
CTNIH24,KPL4072,83.9,[81.1 - 86.4%],0.0188,93.16,CTNIH24,KPL4072
CTNIH24,LK1134,77.9,[75 - 80.6%],0.0258,88.84,CTNIH24,LK1134
CTNIH24,MSK071,79.6,[76.7 - 82.3%],0.0238,90.27,CTNIH24,MSK071
CTNIH24,MSK163,80.5,[77.6 - 83.1%],0.0228,90.94,CTNIH24,MSK163
CTNIH24,MSK185,78.2,[75.2 - 80.9%],0.0255,89.08,CTNIH24,MSK185
CTNIH24,MSK194,80.4,[77.4 - 83%],0.0229,90.86,CTNIH24,MSK194
CTNIH24,P5_C4,84.8,[82.1 - 87.2%],0.0178,93.63,CTNIH24,P5_C4
CTNIH24,P7_C1,84.4,[81.6 - 86.8%],0.0183,93.4,CTNIH24,P7_C1
CTNIH24,P7_F1,84.3,[81.6 - 86.7%],0.0184,93.38,CTNIH24,P7_F1
CTNIH24,SB,67.9,[64.9 - 70.7%],0.0391,74.2,CTNIH24,SB
CTNIH24,YSMAA1_1_C6,78.9,[75.9 - 81.6%],0.0247,89.69,CTNIH24,YSMAA1_1_C6
CTNIH24,YSMAA1_2_B7,80.4,[77.5 - 83%],0.0229,90.89,CTNIH24,YSMAA1_2_B7
CTNIH24,YSMAA1_2_G9,79.6,[76.7 - 82.3%],0.0238,90.29,CTNIH24,YSMAA1_2_G9
CTNIH24,YSMAA3_1_H1,81.1,[78.2 - 83.7%],0.022,91.41,CTNIH24,YSMAA3_1_H1
CTNIH24,YSMAA5_1_D11,80.2,[77.3 - 82.8%],0.0231,90.75,CTNIH24,YSMAA5_1_D11
CTNIH27,CT01,80.3,[77.4 - 82.9%],0.023,90.83,CTNIH27,CT01
CTNIH27,CTNIH2,80.1,[77.1 - 82.7%],0.0233,90.64,CTNIH27,CTNIH2
CTNIH27,CTNIH6,100,[100 - 100%],0,98.3,CTNIH27,CTNIH6
CTNIH27,CTNIH14,82.1,[79.3 - 84.7%],0.0209,92.08,CTNIH27,CTNIH14
CTNIH27,CTNIH24,80.1,[77.1 - 82.7%],0.0233,90.64,CTNIH27,CTNIH24
CTNIH27,CTNIH27,100,[100 - NaN%],0,98.3,CTNIH27,CTNIH27
CTNIH27,EYE_346,81,[78.1 - 83.6%],0.0222,91.31,CTNIH27,EYE_346
CTNIH27,EYE_437,80.6,[77.7 - 83.3%],0.0226,91.07,CTNIH27,EYE_437
CTNIH27,FDAARGOS_1055,85.3,[82.6 - 87.7%],0.0173,93.88,CTNIH27,FDAARGOS_1055
CTNIH27,KPL2825,85,[82.3 - 87.4%],0.0176,93.75,CTNIH27,KPL2825
CTNIH27,KPL3649,85.6,[82.9 - 87.9%],0.0169,94.03,CTNIH27,KPL3649
CTNIH27,KPL3804,80.7,[77.8 - 83.3%],0.0225,91.13,CTNIH27,KPL3804
CTNIH27,KPL4035,78.3,[75.3 - 81%],0.0254,89.14,CTNIH27,KPL4035
CTNIH27,KPL4072,80.6,[77.7 - 83.3%],0.0226,91.07,CTNIH27,KPL4072
CTNIH27,LK1134,81.9,[79 - 84.4%],0.0212,91.93,CTNIH27,LK1134
CTNIH27,MSK071,85.6,[82.9 - 87.9%],0.0169,94.03,CTNIH27,MSK071
CTNIH27,MSK163,80.6,[77.7 - 83.2%],0.0227,91.01,CTNIH27,MSK163
CTNIH27,MSK185,81.6,[78.7 - 84.2%],0.0215,91.74,CTNIH27,MSK185
CTNIH27,MSK194,80.8,[77.9 - 83.4%],0.0224,91.21,CTNIH27,MSK194
CTNIH27,P5_C4,77.6,[74.6 - 80.3%],0.0263,88.5,CTNIH27,P5_C4
CTNIH27,P7_C1,80.6,[77.7 - 83.2%],0.0227,91.02,CTNIH27,P7_C1
CTNIH27,P7_F1,80.6,[77.7 - 83.2%],0.0227,91.02,CTNIH27,P7_F1
CTNIH27,SB,66.7,[63.7 - 69.5%],0.0409,71.41,CTNIH27,SB
CTNIH27,YSMAA1_1_C6,83,[80.1 - 85.5%],0.0199,92.6,CTNIH27,YSMAA1_1_C6
CTNIH27,YSMAA1_2_B7,84.5,[81.8 - 86.9%],0.0181,93.5,CTNIH27,YSMAA1_2_B7
CTNIH27,YSMAA1_2_G9,82.4,[79.5 - 84.9%],0.0206,92.24,CTNIH27,YSMAA1_2_G9
CTNIH27,YSMAA3_1_H1,81.5,[78.6 - 84.1%],0.0216,91.68,CTNIH27,YSMAA3_1_H1
CTNIH27,YSMAA5_1_D11,80.6,[77.7 - 83.2%],0.0226,91.04,CTNIH27,YSMAA5_1_D11
EYE_346,CT01,81.9,[79 - 84.5%],0.0211,91.95,EYE_346,CT01
EYE_346,CTNIH2,80.6,[77.7 - 83.2%],0.0227,91.04,EYE_346,CTNIH2
EYE_346,CTNIH6,81,[78.1 - 83.6%],0.0222,91.34,EYE_346,CTNIH6
EYE_346,CTNIH14,81.2,[78.3 - 83.8%],0.0219,91.48,EYE_346,CTNIH14
EYE_346,CTNIH24,80.6,[77.7 - 83.2%],0.0227,91.02,EYE_346,CTNIH24
EYE_346,CTNIH27,81,[78.1 - 83.6%],0.0222,91.31,EYE_346,CTNIH27
EYE_346,EYE_346,100,[100 - NaN%],0,98.3,EYE_346,EYE_346
EYE_346,EYE_437,81,[78.1 - 83.6%],0.0222,91.31,EYE_346,EYE_437
EYE_346,FDAARGOS_1055,83.2,[80.4 - 85.7%],0.0196,92.75,EYE_346,FDAARGOS_1055
EYE_346,KPL2825,83.9,[81.1 - 86.3%],0.0189,93.15,EYE_346,KPL2825
EYE_346,KPL3649,86.1,[83.5 - 88.4%],0.0164,94.28,EYE_346,KPL3649
EYE_346,KPL3804,99.9,[99.8 - 99.9%],3e-4,98.27,EYE_346,KPL3804
EYE_346,KPL4035,78.8,[75.9 - 81.5%],0.0248,89.63,EYE_346,KPL4035
EYE_346,KPL4072,81.6,[78.7 - 84.2%],0.0215,91.76,EYE_346,KPL4072
EYE_346,LK1134,80.7,[77.8 - 83.3%],0.0225,91.13,EYE_346,LK1134
EYE_346,MSK071,85.9,[83.3 - 88.2%],0.0166,94.18,EYE_346,MSK071
EYE_346,MSK163,99.9,[99.7 - 99.9%],3e-4,98.25,EYE_346,MSK163
EYE_346,MSK185,80,[77.1 - 82.7%],0.0233,90.61,EYE_346,MSK185
EYE_346,MSK194,99.9,[99.8 - 99.9%],3e-4,98.27,EYE_346,MSK194
EYE_346,P5_C4,78.3,[75.4 - 81%],0.0253,89.2,EYE_346,P5_C4
EYE_346,P7_C1,81.5,[78.7 - 84.1%],0.0216,91.7,EYE_346,P7_C1
EYE_346,P7_F1,81.6,[78.7 - 84.1%],0.0215,91.72,EYE_346,P7_F1
EYE_346,SB,67.1,[64.1 - 69.9%],0.0403,72.36,EYE_346,SB
EYE_346,YSMAA1_1_C6,80.9,[78 - 83.5%],0.0223,91.23,EYE_346,YSMAA1_1_C6
EYE_346,YSMAA1_2_B7,86.6,[84 - 88.9%],0.0158,94.5,EYE_346,YSMAA1_2_B7
EYE_346,YSMAA1_2_G9,81.4,[78.5 - 84%],0.0217,91.61,EYE_346,YSMAA1_2_G9
EYE_346,YSMAA3_1_H1,95.1,[93.5 - 96.3%],0.0065,97.22,EYE_346,YSMAA3_1_H1
EYE_346,YSMAA5_1_D11,99.6,[99.4 - 99.8%],8e-4,98.2,EYE_346,YSMAA5_1_D11
EYE_437,CT01,90.6,[88.4 - 92.5%],0.0115,96,EYE_437,CT01
EYE_437,CTNIH2,78.5,[75.6 - 81.2%],0.0251,89.37,EYE_437,CTNIH2
EYE_437,CTNIH6,80.6,[77.7 - 83.3%],0.0226,91.07,EYE_437,CTNIH6
EYE_437,CTNIH14,82.1,[79.3 - 84.7%],0.0209,92.1,EYE_437,CTNIH14
EYE_437,CTNIH24,78.5,[75.5 - 81.2%],0.0251,89.35,EYE_437,CTNIH24
EYE_437,CTNIH27,80.6,[77.7 - 83.3%],0.0226,91.07,EYE_437,CTNIH27
EYE_437,EYE_346,81,[78.1 - 83.6%],0.0222,91.31,EYE_437,EYE_346
EYE_437,EYE_437,100,[100 - NaN%],0,98.3,EYE_437,EYE_437
EYE_437,FDAARGOS_1055,83.9,[81.1 - 86.3%],0.0189,93.13,EYE_437,FDAARGOS_1055
EYE_437,KPL2825,83.5,[80.7 - 86%],0.0193,92.91,EYE_437,KPL2825
EYE_437,KPL3649,80.6,[77.7 - 83.3%],0.0226,91.07,EYE_437,KPL3649
EYE_437,KPL3804,80.9,[78 - 83.5%],0.0223,91.23,EYE_437,KPL3804
EYE_437,KPL4035,77.2,[74.2 - 80%],0.0267,88.16,EYE_437,KPL4035
EYE_437,KPL4072,80.8,[77.9 - 83.5%],0.0224,91.22,EYE_437,KPL4072
EYE_437,LK1134,84.9,[82.1 - 87.2%],0.0178,93.65,EYE_437,LK1134
EYE_437,MSK071,80.6,[77.7 - 83.3%],0.0226,91.07,EYE_437,MSK071
EYE_437,MSK163,80.9,[77.9 - 83.5%],0.0224,91.22,EYE_437,MSK163
EYE_437,MSK185,81.4,[78.5 - 84%],0.0217,91.6,EYE_437,MSK185
EYE_437,MSK194,80.9,[78 - 83.5%],0.0223,91.23,EYE_437,MSK194
EYE_437,P5_C4,76.7,[73.7 - 79.5%],0.0273,87.65,EYE_437,P5_C4
EYE_437,P7_C1,80.3,[77.4 - 82.9%],0.023,90.83,EYE_437,P7_C1
EYE_437,P7_F1,80.3,[77.4 - 82.9%],0.023,90.83,EYE_437,P7_F1
EYE_437,SB,68.1,[65.2 - 71%],0.0387,74.69,EYE_437,SB
EYE_437,YSMAA1_1_C6,85.7,[83 - 88%],0.0168,94.08,EYE_437,YSMAA1_1_C6
EYE_437,YSMAA1_2_B7,83.2,[80.4 - 85.7%],0.0197,92.75,EYE_437,YSMAA1_2_B7
EYE_437,YSMAA1_2_G9,80.9,[78 - 83.5%],0.0223,91.24,EYE_437,YSMAA1_2_G9
EYE_437,YSMAA3_1_H1,81.3,[78.4 - 83.9%],0.0219,91.52,EYE_437,YSMAA3_1_H1
EYE_437,YSMAA5_1_D11,81,[78.1 - 83.6%],0.0221,91.35,EYE_437,YSMAA5_1_D11
FDAARGOS_1055,CT01,84.4,[81.7 - 86.8%],0.0183,93.43,FDAARGOS_1055,CT01
FDAARGOS_1055,CTNIH2,80.1,[77.2 - 82.7%],0.0232,90.66,FDAARGOS_1055,CTNIH2
FDAARGOS_1055,CTNIH6,85.3,[82.6 - 87.7%],0.0173,93.89,FDAARGOS_1055,CTNIH6
FDAARGOS_1055,CTNIH14,85.6,[82.9 - 87.9%],0.0169,94.03,FDAARGOS_1055,CTNIH14
FDAARGOS_1055,CTNIH24,80.1,[77.1 - 82.7%],0.0233,90.65,FDAARGOS_1055,CTNIH24
FDAARGOS_1055,CTNIH27,85.3,[82.6 - 87.7%],0.0173,93.88,FDAARGOS_1055,CTNIH27
FDAARGOS_1055,EYE_346,83.2,[80.4 - 85.7%],0.0196,92.75,FDAARGOS_1055,EYE_346
FDAARGOS_1055,EYE_437,83.9,[81.1 - 86.3%],0.0189,93.13,FDAARGOS_1055,EYE_437
FDAARGOS_1055,FDAARGOS_1055,100,[100 - NaN%],0,98.3,FDAARGOS_1055,FDAARGOS_1055
FDAARGOS_1055,KPL2825,88.1,[85.6 - 90.2%],0.0142,95.09,FDAARGOS_1055,KPL2825
FDAARGOS_1055,KPL3649,84.3,[81.5 - 86.7%],0.0184,93.37,FDAARGOS_1055,KPL3649
FDAARGOS_1055,KPL3804,83.2,[80.4 - 85.7%],0.0197,92.73,FDAARGOS_1055,KPL3804
FDAARGOS_1055,KPL4035,77.7,[74.7 - 80.4%],0.0262,88.58,FDAARGOS_1055,KPL4035
FDAARGOS_1055,KPL4072,82.1,[79.2 - 84.6%],0.021,92.04,FDAARGOS_1055,KPL4072
FDAARGOS_1055,LK1134,86.4,[83.8 - 88.7%],0.016,94.41,FDAARGOS_1055,LK1134
FDAARGOS_1055,MSK071,84.3,[81.6 - 86.7%],0.0184,93.38,FDAARGOS_1055,MSK071
FDAARGOS_1055,MSK163,83.2,[80.3 - 85.6%],0.0197,92.72,FDAARGOS_1055,MSK163
FDAARGOS_1055,MSK185,83.6,[80.8 - 86.1%],0.0192,92.98,FDAARGOS_1055,MSK185
FDAARGOS_1055,MSK194,83.2,[80.3 - 85.6%],0.0197,92.73,FDAARGOS_1055,MSK194
FDAARGOS_1055,P5_C4,77,[74 - 79.8%],0.0269,87.96,FDAARGOS_1055,P5_C4
FDAARGOS_1055,P7_C1,80.6,[77.7 - 83.3%],0.0226,91.07,FDAARGOS_1055,P7_C1
FDAARGOS_1055,P7_F1,80.7,[77.8 - 83.3%],0.0226,91.08,FDAARGOS_1055,P7_F1
FDAARGOS_1055,SB,66.9,[64 - 69.8%],0.0405,72.06,FDAARGOS_1055,SB
FDAARGOS_1055,YSMAA1_1_C6,85.8,[83.2 - 88.1%],0.0167,94.13,FDAARGOS_1055,YSMAA1_1_C6
FDAARGOS_1055,YSMAA1_2_B7,88.4,[85.9 - 90.5%],0.0139,95.21,FDAARGOS_1055,YSMAA1_2_B7
FDAARGOS_1055,YSMAA1_2_G9,82.5,[79.6 - 85%],0.0205,92.32,FDAARGOS_1055,YSMAA1_2_G9
FDAARGOS_1055,YSMAA3_1_H1,83.5,[80.7 - 86%],0.0193,92.92,FDAARGOS_1055,YSMAA3_1_H1
FDAARGOS_1055,YSMAA5_1_D11,83.3,[80.5 - 85.8%],0.0196,92.8,FDAARGOS_1055,YSMAA5_1_D11
KPL2825,CT01,83.6,[80.8 - 86.1%],0.0192,92.98,KPL2825,CT01
KPL2825,CTNIH2,80,[77.1 - 82.7%],0.0233,90.6,KPL2825,CTNIH2
KPL2825,CTNIH6,85.1,[82.4 - 87.4%],0.0175,93.77,KPL2825,CTNIH6
KPL2825,CTNIH14,85,[82.3 - 87.4%],0.0176,93.73,KPL2825,CTNIH14
KPL2825,CTNIH24,80,[77.1 - 82.7%],0.0233,90.6,KPL2825,CTNIH24
KPL2825,CTNIH27,85,[82.3 - 87.4%],0.0176,93.75,KPL2825,CTNIH27
KPL2825,EYE_346,83.9,[81.1 - 86.3%],0.0189,93.15,KPL2825,EYE_346
KPL2825,EYE_437,83.5,[80.7 - 86%],0.0193,92.91,KPL2825,EYE_437
KPL2825,FDAARGOS_1055,88.1,[85.6 - 90.2%],0.0142,95.09,KPL2825,FDAARGOS_1055
KPL2825,KPL2825,100,[100 - NaN%],0,98.3,KPL2825,KPL2825
KPL2825,KPL3649,84.5,[81.8 - 86.9%],0.0182,93.47,KPL2825,KPL3649
KPL2825,KPL3804,83.8,[81 - 86.2%],0.019,93.08,KPL2825,KPL3804
KPL2825,KPL4035,77.6,[74.6 - 80.3%],0.0263,88.5,KPL2825,KPL4035
KPL2825,KPL4072,82.4,[79.5 - 84.9%],0.0206,92.25,KPL2825,KPL4072
KPL2825,LK1134,84.9,[82.2 - 87.3%],0.0177,93.67,KPL2825,LK1134
KPL2825,MSK071,84.5,[81.7 - 86.9%],0.0182,93.45,KPL2825,MSK071
