Genome1,Genome2,DDH,CI,Distance,Prob_DDH_70,styled_Genome1,styled_Genome2
Ccu_c8Ua_181,Cyo_MSK136,31.9,[29.5 - 34.4%],0.1323,0.22,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#0A6003;'><span style='color:#0A6003;'>Cyo</span></span> MSK136
Ccu_CTNIH19,Ccu_c8Ua_181,99.6,[99.4 - 99.8%],8e-4,98.19,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>"
Ccu_CTNIH19,Ccu_CTNIH19,100,[100 - NaN%],0,98.3,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#FF00FF;'>Ccu</span> CTNIH19
Ccu_CTNIH19,Cha_CTNIH20,53.2,[50.5 - 55.8%],0.0646,28.78,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#0ABF00;'>Cha</span> CTNIH20
Ccu_CTNIH19,Cha_CTNIH21,52.4,[49.8 - 55.1%],0.0662,26.36,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#0ABF00;'>Cha</span> CTNIH21
Ccu_CTNIH19,Cha_CTNIH22,51.9,[49.2 - 54.5%],0.0674,24.64,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,"<span style='color:#0ABF00;'>Cha</span> CTNIH22<sup style=""vertical-align: super;"">T</sup>"
Ccu_CTNIH19,Cha_CTNIH23,52,[49.3 - 54.7%],0.0671,25.05,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#0ABF00;'>Cha</span> CTNIH23
Ccu_CTNIH19,Cke_CTNIH24,31.6,[29.2 - 34.1%],0.1337,0.2,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#8200E7;'>Cna</span> CTNIH24
Ccu_CTNIH19,Cke_CTNIH27,31.6,[29.2 - 34.1%],0.1336,0.2,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#8200E7;'>Cna</span> CTNIH27
Ccu_CTNIH19,Cke_EYE_437,31.7,[29.3 - 34.2%],0.1335,0.2,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#8200E7;'><span style='color:#8200E7;'>Cke</span></span> EYE_437
Ccu_CTNIH19,Cke_FDAARGOS_1055,31.6,[29.2 - 34.1%],0.1336,0.2,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#8200E7;'>Cke</span> FDAARGOS 1055
Ccu_CTNIH19,Cke_LK1134,31.7,[29.3 - 34.2%],0.1333,0.21,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#8200E7;'><span style='color:#8200E7;'>Cke</span></span> LK1134
Ccu_CTNIH19,Cke_YSMAA5_1_D11,31.6,[29.2 - 34.1%],0.1336,0.2,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#8200E7;'>Cke</span> YSMAA5_1_D11
Ccu_CTNIH19,Cmq_c19Ua_121,34.4,[32 - 37%],0.1205,0.55,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,"<span style='color:#39D9E5;'>Cmq</span> c19Ua 121<sup style=""vertical-align: super;"">T</sup>"
Ccu_CTNIH19,Cmq_KPL4083,34.4,[32 - 36.9%],0.1208,0.54,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#39D9E5;'>Cmq</span> KPL4083
Ccu_CTNIH19,Cmq_MSK144,34.7,[32.2 - 37.2%],0.1196,0.59,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#39D9E5;'>Cmq</span> MSK144
Ccu_CTNIH19,Cna_KPL2825,31.4,[29 - 33.9%],0.1346,0.19,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#8200E7;'>Cna</span> KPL2825
Ccu_CTNIH19,Cna_KPL3649,31.5,[29.1 - 34%],0.1344,0.19,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#8200E7;'>Cna</span> KPL3649
Ccu_CTNIH19,Cna_KPL3804,31.6,[29.2 - 34.1%],0.1338,0.2,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,"<span style='color:#8200E7;'>Cna</span> KPL3804<sup style=""vertical-align: super;"">T</sup>"
Ccu_CTNIH19,Cna_KPL4035,31.5,[29.1 - 34.1%],0.134,0.2,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#8200E7;'>Cna</span> KPL4035
Ccu_CTNIH19,Cna_KPL4072,31.5,[29.1 - 34%],0.1341,0.19,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#8200E7;'>Cna</span> KPL4072
Ccu_CTNIH19,Cna_MSK071,31.5,[29.1 - 34%],0.1343,0.19,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#8200E7;'>Cna</span> MSK071
Ccu_CTNIH19,Cna_MSK185,31.5,[29.1 - 34%],0.1342,0.19,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#8200E7;'>Cna</span> MSK185
Ccu_CTNIH19,Cna_MSK194,31.6,[29.2 - 34.1%],0.1339,0.2,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#8200E7;'>Cna</span> MSK194
Ccu_CTNIH19,Ctu_DSM_44922,34.4,[32 - 36.9%],0.1207,0.54,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,"<span style='color:#002BFF;'>Ctu</span> DSM 44922<sup style=""vertical-align: super;"">T</sup>"
Ccu_CTNIH19,Ctu_KPL3807,34.8,[32.4 - 37.4%],0.1188,0.63,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#002BFF;'>Ctu</span> KPL3807
Ccu_CTNIH19,Ctu_MSK207,34.6,[32.2 - 37.1%],0.1198,0.58,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#002BFF;'>Ctu</span> MSK207
Ccu_CTNIH19,Ctu_SK141,34.5,[32.1 - 37%],0.1202,0.56,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#002BFF;'>Ctu</span> SK141
Ccu_CTNIH19,Cyo_c21Ua_68,31.4,[29 - 33.9%],0.1346,0.19,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,"<span style='color:#0A6003;'><span style='color:#0A6003;'>Cyo</span></span> c21Ua 68<sup style=""vertical-align: super;"">T</sup>"
Ccu_CTNIH19,Cyo_KPL2619,31.5,[29.1 - 34%],0.1343,0.19,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#0A6003;'><span style='color:#0A6003;'>Cyo</span></span> KPL2619
Ccu_CTNIH19,Cyo_MSK136,31.5,[29.1 - 34%],0.1345,0.19,<span style='color:#FF00FF;'>Ccu</span> CTNIH19,<span style='color:#0A6003;'><span style='color:#0A6003;'>Cyo</span></span> MSK136
Cha_CTNIH20,Ccu_c8Ua_181,53.1,[50.4 - 55.7%],0.0649,28.43,<span style='color:#0ABF00;'>Cha</span> CTNIH20,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>"
Cha_CTNIH20,Ccu_CTNIH19,53.2,[50.5 - 55.8%],0.0646,28.78,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#FF00FF;'>Ccu</span> CTNIH19
Cha_CTNIH20,Cha_CTNIH20,100,[100 - NaN%],0,98.3,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#0ABF00;'>Cha</span> CTNIH20
Cha_CTNIH20,Cha_CTNIH21,82.3,[79.4 - 84.8%],0.0207,92.19,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#0ABF00;'>Cha</span> CTNIH21
Cha_CTNIH20,Cha_CTNIH22,78.6,[75.6 - 81.3%],0.025,89.44,<span style='color:#0ABF00;'>Cha</span> CTNIH20,"<span style='color:#0ABF00;'>Cha</span> CTNIH22<sup style=""vertical-align: super;"">T</sup>"
Cha_CTNIH20,Cha_CTNIH23,83.6,[80.8 - 86.1%],0.0192,92.98,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#0ABF00;'>Cha</span> CTNIH23
Cha_CTNIH20,Cke_CTNIH24,32.6,[30.2 - 35.1%],0.129,0.29,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#8200E7;'>Cna</span> CTNIH24
Cha_CTNIH20,Cke_CTNIH27,32.6,[30.2 - 35.1%],0.129,0.29,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#8200E7;'>Cna</span> CTNIH27
Cha_CTNIH20,Cke_EYE_437,32.6,[30.2 - 35.1%],0.1289,0.29,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#8200E7;'><span style='color:#8200E7;'>Cke</span></span> EYE_437
Cha_CTNIH20,Cke_FDAARGOS_1055,32.8,[30.4 - 35.3%],0.1279,0.31,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#8200E7;'>Cke</span> FDAARGOS 1055
Cha_CTNIH20,Cke_LK1134,32.7,[30.3 - 35.2%],0.1284,0.3,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#8200E7;'><span style='color:#8200E7;'>Cke</span></span> LK1134
Cha_CTNIH20,Cke_YSMAA5_1_D11,32.8,[30.3 - 35.3%],0.1281,0.31,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#8200E7;'>Cke</span> YSMAA5_1_D11
Cha_CTNIH20,Cmq_c19Ua_121,37.7,[35.3 - 40.3%],0.1074,1.49,<span style='color:#0ABF00;'>Cha</span> CTNIH20,"<span style='color:#39D9E5;'>Cmq</span> c19Ua 121<sup style=""vertical-align: super;"">T</sup>"
Cha_CTNIH20,Cmq_KPL4083,38.1,[35.6 - 40.6%],0.1061,1.64,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#39D9E5;'>Cmq</span> KPL4083
Cha_CTNIH20,Cmq_MSK144,38,[35.6 - 40.5%],0.1064,1.61,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#39D9E5;'>Cmq</span> MSK144
Cha_CTNIH20,Cna_KPL2825,32.6,[30.2 - 35.1%],0.129,0.29,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#8200E7;'>Cna</span> KPL2825
Cha_CTNIH20,Cna_KPL3649,32.6,[30.2 - 35.1%],0.129,0.29,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#8200E7;'>Cna</span> KPL3649
Cha_CTNIH20,Cna_KPL3804,32.7,[30.3 - 35.2%],0.1285,0.3,<span style='color:#0ABF00;'>Cha</span> CTNIH20,"<span style='color:#8200E7;'>Cna</span> KPL3804<sup style=""vertical-align: super;"">T</sup>"
Cha_CTNIH20,Cna_KPL4035,32.3,[29.9 - 34.8%],0.1303,0.26,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#8200E7;'>Cna</span> KPL4035
Cha_CTNIH20,Cna_KPL4072,32.5,[30.1 - 35%],0.1294,0.28,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#8200E7;'>Cna</span> KPL4072
Cha_CTNIH20,Cna_MSK071,32.6,[30.2 - 35.1%],0.129,0.29,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#8200E7;'>Cna</span> MSK071
Cha_CTNIH20,Cna_MSK185,32.6,[30.2 - 35.1%],0.1288,0.29,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#8200E7;'>Cna</span> MSK185
Cha_CTNIH20,Cna_MSK194,32.7,[30.3 - 35.2%],0.1285,0.3,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#8200E7;'>Cna</span> MSK194
Cha_CTNIH20,Ctu_DSM_44922,37,[34.6 - 39.6%],0.11,1.23,<span style='color:#0ABF00;'>Cha</span> CTNIH20,"<span style='color:#002BFF;'>Ctu</span> DSM 44922<sup style=""vertical-align: super;"">T</sup>"
Cha_CTNIH20,Ctu_KPL3807,37.9,[35.4 - 40.4%],0.1068,1.56,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#002BFF;'>Ctu</span> KPL3807
Cha_CTNIH20,Ctu_MSK207,37.2,[34.7 - 39.7%],0.1094,1.28,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#002BFF;'>Ctu</span> MSK207
Cha_CTNIH20,Ctu_SK141,36.8,[34.3 - 39.3%],0.111,1.13,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#002BFF;'>Ctu</span> SK141
Cha_CTNIH20,Cyo_c21Ua_68,32.6,[30.2 - 35.1%],0.1287,0.29,<span style='color:#0ABF00;'>Cha</span> CTNIH20,"<span style='color:#0A6003;'><span style='color:#0A6003;'>Cyo</span></span> c21Ua 68<sup style=""vertical-align: super;"">T</sup>"
Cha_CTNIH20,Cyo_KPL2619,32.7,[30.3 - 35.2%],0.1286,0.3,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#0A6003;'><span style='color:#0A6003;'>Cyo</span></span> KPL2619
Cha_CTNIH20,Cyo_MSK136,32.5,[30.1 - 35%],0.1294,0.28,<span style='color:#0ABF00;'>Cha</span> CTNIH20,<span style='color:#0A6003;'><span style='color:#0A6003;'>Cyo</span></span> MSK136
Cha_CTNIH21,Ccu_c8Ua_181,52.2,[49.5 - 54.8%],0.0668,25.46,<span style='color:#0ABF00;'>Cha</span> CTNIH21,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>"
Cha_CTNIH21,Ccu_CTNIH19,52.4,[49.8 - 55.1%],0.0662,26.36,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#FF00FF;'>Ccu</span> CTNIH19
Cha_CTNIH21,Cha_CTNIH20,82.3,[79.4 - 84.8%],0.0207,92.19,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#0ABF00;'>Cha</span> CTNIH20
Cha_CTNIH21,Cha_CTNIH21,100,[100 - NaN%],0,98.3,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#0ABF00;'>Cha</span> CTNIH21
Cha_CTNIH21,Cha_CTNIH22,78.1,[75.2 - 80.9%],0.0256,89.03,<span style='color:#0ABF00;'>Cha</span> CTNIH21,"<span style='color:#0ABF00;'>Cha</span> CTNIH22<sup style=""vertical-align: super;"">T</sup>"
Cha_CTNIH21,Cha_CTNIH23,87.6,[85.1 - 89.8%],0.0147,94.92,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#0ABF00;'>Cha</span> CTNIH23
Cha_CTNIH21,Cke_CTNIH24,32.5,[30.1 - 35%],0.1295,0.28,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#8200E7;'>Cna</span> CTNIH24
Cha_CTNIH21,Cke_CTNIH27,32.6,[30.2 - 35.1%],0.1287,0.29,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#8200E7;'>Cna</span> CTNIH27
Cha_CTNIH21,Cke_EYE_437,32.7,[30.3 - 35.2%],0.1283,0.3,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#8200E7;'><span style='color:#8200E7;'>Cke</span></span> EYE_437
Cha_CTNIH21,Cke_FDAARGOS_1055,32.9,[30.5 - 35.4%],0.1273,0.33,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#8200E7;'>Cke</span> FDAARGOS 1055
Cha_CTNIH21,Cke_LK1134,32.7,[30.3 - 35.2%],0.1283,0.3,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#8200E7;'><span style='color:#8200E7;'>Cke</span></span> LK1134
Cha_CTNIH21,Cke_YSMAA5_1_D11,32.8,[30.4 - 35.4%],0.1277,0.32,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#8200E7;'>Cke</span> YSMAA5_1_D11
Cha_CTNIH21,Cmq_c19Ua_121,38,[35.6 - 40.6%],0.1063,1.63,<span style='color:#0ABF00;'>Cha</span> CTNIH21,"<span style='color:#39D9E5;'>Cmq</span> c19Ua 121<sup style=""vertical-align: super;"">T</sup>"
Cha_CTNIH21,Cmq_KPL4083,38.3,[35.8 - 40.8%],0.1055,1.72,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#39D9E5;'>Cmq</span> KPL4083
Cha_CTNIH21,Cmq_MSK144,38.4,[35.9 - 40.9%],0.1049,1.8,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#39D9E5;'>Cmq</span> MSK144
Cha_CTNIH21,Cna_KPL2825,32.7,[30.3 - 35.2%],0.1284,0.3,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#8200E7;'>Cna</span> KPL2825
Cha_CTNIH21,Cna_KPL3649,32.6,[30.2 - 35.1%],0.1288,0.29,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#8200E7;'>Cna</span> KPL3649
Cha_CTNIH21,Cna_KPL3804,32.8,[30.4 - 35.3%],0.128,0.31,<span style='color:#0ABF00;'>Cha</span> CTNIH21,"<span style='color:#8200E7;'>Cna</span> KPL3804<sup style=""vertical-align: super;"">T</sup>"
Cha_CTNIH21,Cna_KPL4035,32.4,[30 - 34.9%],0.1298,0.27,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#8200E7;'>Cna</span> KPL4035
Cha_CTNIH21,Cna_KPL4072,32.5,[30.1 - 35%],0.1293,0.28,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#8200E7;'>Cna</span> KPL4072
Cha_CTNIH21,Cna_MSK071,32.6,[30.2 - 35.1%],0.1289,0.29,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#8200E7;'>Cna</span> MSK071
Cha_CTNIH21,Cna_MSK185,32.6,[30.2 - 35.1%],0.1288,0.29,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#8200E7;'>Cna</span> MSK185
Cha_CTNIH21,Cna_MSK194,32.8,[30.3 - 35.3%],0.1281,0.31,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#8200E7;'>Cna</span> MSK194
Cha_CTNIH21,Ctu_DSM_44922,37,[34.5 - 39.5%],0.1102,1.2,<span style='color:#0ABF00;'>Cha</span> CTNIH21,"<span style='color:#002BFF;'>Ctu</span> DSM 44922<sup style=""vertical-align: super;"">T</sup>"
Cha_CTNIH21,Ctu_KPL3807,38.1,[35.7 - 40.6%],0.106,1.66,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#002BFF;'>Ctu</span> KPL3807
Cha_CTNIH21,Ctu_MSK207,37.3,[34.9 - 39.8%],0.1089,1.33,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#002BFF;'>Ctu</span> MSK207
Cha_CTNIH21,Ctu_SK141,36.8,[34.4 - 39.3%],0.1108,1.15,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#002BFF;'>Ctu</span> SK141
Cha_CTNIH21,Cyo_c21Ua_68,32.3,[29.9 - 34.8%],0.1302,0.26,<span style='color:#0ABF00;'>Cha</span> CTNIH21,"<span style='color:#0A6003;'><span style='color:#0A6003;'>Cyo</span></span> c21Ua 68<sup style=""vertical-align: super;"">T</sup>"
Cha_CTNIH21,Cyo_KPL2619,32.2,[29.8 - 34.8%],0.1306,0.25,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#0A6003;'><span style='color:#0A6003;'>Cyo</span></span> KPL2619
Cha_CTNIH21,Cyo_MSK136,32.4,[30 - 34.9%],0.1297,0.27,<span style='color:#0ABF00;'>Cha</span> CTNIH21,<span style='color:#0A6003;'><span style='color:#0A6003;'>Cyo</span></span> MSK136
