	SB	EYE_346	YSMAA5_1_D11	KPL3804	MSK163	MSK194	CTNIH27	CTNIH6	YSMAA3_1_H1	EYE_437	YSMAA1_1_C6	FDAARGOS_1055	KPL2825	CTNIH14	YSMAA1_2_G9	YSMAA1_2_B7	MSK185	CT01	LK1134	P7_C1	P7_F1	KPL4072	KPL3649	MSK071	CTNIH2	CTNIH24	KPL4035	P5_C4
YSMAA1_1_C6	0.20138515762947265	0.14081225296326633	0.13854093786964206	0.14326403695597797	0.13907703226964294	0.14139306595423382	0.10133778923774016	0.10293039823091	0.14710069778704155	0.11586988625682033	-0.0	0.11090841974598545	0.13347677388758158	0.12465391135442852	0.14215180561975183	0.12338944199863967	0.11422924236681371	0.1044329315525663	0.09612218001728454	0.1516527816740769	0.12973095077515606	0.13779082887140093	0.10761620882184479	0.11423073174058415	0.14800941000398532	0.14658831993828056	0.15635988353840272	0.14551059938662894
FDAARGOS_1055	0.18817260576487177	0.1202943064715463	0.11834352031106622	0.12084536742411214	0.12048741853047434	0.12071391723428991	0.11789578027431906	0.11945921556135582	0.11907247344909536	0.12468906332751253	0.10980548747975645	-0.0	0.11701159869041006	0.13273748408189642	0.15374507178065802	0.10066939021299252	0.12108942900547004	0.1221662219978032	0.11184070927662211	0.15690181085351473	0.13485975587988963	0.13235172813093862	0.09911596992507918	0.10126834347173104	0.1495476232326812	0.14842508096315535	0.14808614304441817	0.14599172814664912
KPL2825	0.17170005510751715	0.1059409311774412	0.10589355914471074	0.10572790391440573	0.10395983296088698	0.10396420195768957	0.109805974752091	0.1103257353179997	0.11332740666782058	0.12126519530580007	0.10541696469548768	0.09867219829021753	7.698929636646588e-06	0.10590385868636326	0.12553554059206648	0.10061244482976399	0.10851239427938666	0.11798210361909556	0.11057496407195637	0.14339204707473954	0.1209403269716757	0.11917152352217096	0.10305525991390364	0.10431637729339548	0.13439577226441818	0.1335607473410824	0.12704066521637397	0.12282941832890475
CTNIH14	0.16743448400582278	0.11714476621866506	0.11629083207113451	0.11867057367675557	0.11617580922452146	0.11551661120020716	0.09669582309473494	0.09643509455373747	0.1182725352667719	0.09351782869566469	0.08502577952093943	0.09975594033903515	0.09701654824323236	-0.0	0.10267099178291811	0.10689422986306768	0.1006204391473622	0.09703852258861126	0.08396141601643207	0.13084870784328942	0.1076443436086555	0.12144195926070839	0.1012377324643409	0.10222789787691637	0.12244309123110839	0.1216184170248408	0.1305735377933136	0.11994352721341184
YSMAA1_2_G9	0.1442832994275853	0.10224954951273278	0.10108841387124962	0.10542896088903655	0.10302516005808199	0.1041178777189189	0.08068705804765824	0.0817585089440182	0.10150880181834404	0.11142255004963969	0.08455392474582485	0.10674428929777388	0.10439323640105659	0.08717279990851723	-0.0	0.11168999427884498	0.10323225977964708	0.10359087606069468	0.09523508473403017	0.12770284468797197	0.1077756291424579	0.11561992286016867	0.09878537424361969	0.1027349495861161	0.10314263120507978	0.1037186480382188	0.1134041669236687	0.11254945247578005
YSMAA1_2_B7	0.1378347811039133	0.07048295164088982	0.06879127127392573	0.07215505406330779	0.06967275269666924	0.07218645429832621	0.08180057660352226	0.08225837511111793	0.06392890912207291	0.08426011710567763	0.07304648202606895	0.052958305749980984	0.07398730284993978	0.08977821289779907	0.10868669548809368	-0.0	0.0780203719569478	0.08269054973200006	0.08297835438753265	0.11058396794028996	0.08917158375707733	0.08890753661913503	0.07435892420878575	0.07683629890076445	0.0954460487040858	0.09502000581886824	0.10758728562641079	0.10829127436085807
MSK185	0.14917179795570382	0.097808046928524	0.09629492943112053	0.09753554331997788	0.09495415997690516	0.09621323609694435	0.08982575115518375	0.09011895560517713	0.10488916986981832	0.0924113398537556	0.07322071771115062	0.08581598016120197	0.09467878787416752	0.0976439262634191	0.11634173425544193	0.0916970098416748	0.00010713983926757073	0.09001868327836166	0.0719376028484907	0.11135214690662185	0.09028991578389682	0.10119357874402705	0.07311693565419722	0.07735308488723791	0.11185377520185286	0.11041355645889704	0.1081948031251779	0.10694705621464291
CT01	0.1577518629772982	0.0893303665686915	0.08867256126525751	0.08968219886119266	0.08755706555964994	0.08865863308038302	0.08680325501214732	0.08786114885258015	0.0918561458435333	0.07346150282159532	0.060257190433863614	0.08185951476016941	0.09880579198380479	0.08454761378465457	0.10715610532005959	0.09045413988451467	0.08105258192492881	8.266434166829369e-06	0.05932277232783175	0.12161187578103808	0.10099809099521084	0.10709329950545211	0.07211371984354423	0.08165825541831617	0.11500666373371099	0.11409849394965878	0.11628857790236861	0.11131771592600308
LK1134	0.150341313850401	0.09472130981229718	0.09421763380012399	0.09725651275204063	0.0946440135923156	0.09468106508849322	0.07745199520235539	0.07833075654012704	0.10333535312890035	0.07449181001004754	0.053490587405543036	0.0725015192058806	0.09164218285766808	0.076047012323763	0.10338545359982595	0.09208797601326224	0.06811220057001847	0.062250457020508645	-0.0	0.1174506199875943	0.09708453205665543	0.1056928950008317	0.06945067558468637	0.07406685830659997	0.10716315076198366	0.10533889366936096	0.11002236710996426	0.10634595826916442
P7_C1	0.14628750318965478	0.08265134684098706	0.08158637524882777	0.08102395972723749	0.07896102792506575	0.0805748367207548	0.0776242057251639	0.07852175901090784	0.10356649265764784	0.11239056319318833	0.08628552459332008	0.09347602207048511	0.10052950292524607	0.0950411009992737	0.11249523288498511	0.09632418224107335	0.08455376053170123	0.10280596242022723	0.09103823010884361	1.998129962484828e-05	0.0008256200304395697	0.07419151910520964	0.06511329033907974	0.06873652695316201	0.07468918741120624	0.07267008411807133	0.07629848770513503	0.0706861596834361
P7_F1	0.14792582052759534	0.08372159020439332	0.08326764934573568	0.08378208129131312	0.08026630285240877	0.08203690964818212	0.07912879282096745	0.08023384454735821	0.10647702194128347	0.11408539025599156	0.0853383707362707	0.09416719064537614	0.10116240008932931	0.10056663247722956	0.11304488762937391	0.09733902214379583	0.08859735373158711	0.10373320633304936	0.09287533830815302	0.024793595356459402	-0.0	0.07443867276760419	0.06811698607944959	0.07076389231894935	0.0771885342627275	0.07462460647856271	0.07727862951798005	0.07325335611898136
KPL4072	0.15881313315668674	0.0958521886345765	0.09544930570188366	0.09534572329598721	0.09360268631140256	0.09352642883442157	0.08119207738758287	0.081945840148528	0.1079006364793313	0.1305471484282969	0.10673379662107563	0.10824250616131298	0.11394090794104061	0.12730871927757614	0.13559614515971877	0.11154486482919773	0.11074216043235563	0.12005746714083305	0.11577494629308435	0.10837012666372454	0.08731381821127474	4.492110089486772e-06	0.09169146612372221	0.09517371903551902	0.10386104897565819	0.1017005554905703	0.09422203186209514	0.0904262871273271
KPL3649	0.1774942762434202	0.09652934328219054	0.09648878311441908	0.09488821566371614	0.09308208845440344	0.09468136058257878	0.08573620000985757	0.0862759517719689	0.11588324140881341	0.11664374285945699	0.09157668573492485	0.08979873931351921	0.11315518487107425	0.12239699180012657	0.13917462977697176	0.10903402150367628	0.09862887165532198	0.10214780704834399	0.09907213039543068	0.11053061651514212	0.0924260199647882	0.10542013032363409	1.0432054413639577e-05	0.01471454101306993	0.10740090372341445	0.10606764483696578	0.11761282907984467	0.10739838481449071
MSK071	0.1821886799424745	0.10033115943231152	0.09791548370314894	0.10042829784405771	0.09611157604652963	0.09838545240152607	0.09042250427475178	0.09193539949677078	0.12858863653708902	0.1233835351424097	0.09871786422129937	0.0975953099465877	0.12119234294549448	0.12978510194267956	0.14480762312970075	0.1177066417244742	0.10250860555548356	0.11225823196666826	0.10306362275932851	0.11374733166316116	0.09703992872778969	0.11320402403754205	0.015218634083385257	0.0018598305130841106	0.11191729543444116	0.11067178115682175	0.12400962510493962	0.11494316751431284
CTNIH2	0.16388734193538523	0.11063488471995475	0.11080575800624809	0.10999764699634816	0.1071632799947416	0.10938346933998808	0.10294380037920439	0.10306904353103456	0.12660921904489483	0.13247390773024711	0.11795184432876565	0.12151461593746953	0.12862235255995771	0.12496756266107842	0.12369059987793023	0.11678168731052192	0.11916816163811823	0.12898734788002703	0.1169412302489986	0.11281719057474002	0.09059074569354957	0.10343266094226708	0.0908241213980059	0.09295285722374824	1.629401327398685e-06	0.0014269819546335735	0.10162812470286811	0.09251298003784467
CTNIH24	0.16336417956216046	0.11177950044178368	0.11155344476334991	0.11073954674090863	0.10769127421093373	0.10981792795385856	0.10287103077613825	0.10407625212182865	0.12746103481306942	0.13253388333095512	0.1173088675418543	0.12377034836951503	0.1297044708112665	0.12666879148742796	0.1260799472706793	0.1176728801362255	0.11693493231021843	0.1297083893941322	0.11679071071118083	0.11153673048949195	0.09088846741902376	0.10226437055446386	0.08999750350358918	0.09281222754646186	0.005890161492417849	3.045686380555735e-05	0.1014398478635023	0.09274395654368918
KPL4035	0.1696821608776425	0.1029780011009841	0.10208106604693362	0.10000176234684036	0.09556835638903137	0.10095905818774353	0.10077801072355858	0.10052326072946556	0.11451276680689416	0.14211857095925087	0.11785155420372553	0.12363058480806663	0.11956164798745028	0.13554088951165397	0.13191711056491529	0.12804408075297283	0.11531245130228199	0.13024072754940186	0.11974624879881889	0.11150388411788921	0.08921860283045467	0.09495854368555198	0.10247441334954777	0.10783709707771284	0.1017989547742858	0.10062515895541732	-0.0	0.022483816150758812
P5_C4	0.18986485462242753	0.1264395917949808	0.1263191884638596	0.12470255468107137	0.12226883299296055	0.12359451917449338	0.1191274386988064	0.11941417579244314	0.136242284573991	0.16016088950767562	0.136067270618371	0.1414166631307284	0.13837677334488577	0.1473005747942614	0.14879256328945104	0.14824164703302226	0.13951115835410013	0.1491475130319928	0.13953001529732273	0.1279784888570795	0.10495510840200958	0.11222779912063191	0.11567482899902838	0.1203534341895959	0.11350327131425321	0.11218716943622586	0.04558959680876077	-0.0
